trajectory,bytes,sha256,source_snapshot_id,session_id,agent,agent_version,model,created_at,branch,strategy,files_touched,assembled_from_continuation_parts,detected_format,models,agent_versions,parse_fallback,source.host,source.repository,source.url,source.checkpoint_tip,source.checkpoint_id,source.session_index,source.metadata_path,source.transcript_path,source.parts,initial_attribution.calculated_at,initial_attribution.agent_lines,initial_attribution.agent_removed,initial_attribution.human_added,initial_attribution.human_modified,initial_attribution.human_removed,initial_attribution.total_committed,initial_attribution.total_lines_changed,initial_attribution.agent_percentage,initial_attribution.metric_version,statistics.user_messages,statistics.assistant_messages,statistics.tool_calls,statistics.input_tokens,statistics.reasoning_tokens,statistics.output_tokens,statistics.input_tokens_source,statistics.reasoning_tokens_source,statistics.output_tokens_source,checkpoint_token_usage.input_tokens,checkpoint_token_usage.cache_creation_tokens,checkpoint_token_usage.cache_read_tokens,checkpoint_token_usage.output_tokens,checkpoint_token_usage.api_call_count,initial_attribution,checkpoint_token_usage.subagent_tokens.input_tokens,checkpoint_token_usage.subagent_tokens.cache_creation_tokens,checkpoint_token_usage.subagent_tokens.cache_read_tokens,checkpoint_token_usage.subagent_tokens.output_tokens,checkpoint_token_usage.subagent_tokens.api_call_count,initial_attribution.type,initial_attribution.branch,z::statistics.input_tokens,z::statistics.reasoning_tokens,z::statistics.output_tokens,z::checkpoint_token_usage.input_tokens,z::checkpoint_token_usage.cache_creation_tokens,z::checkpoint_token_usage.cache_read_tokens,z::checkpoint_token_usage.output_tokens,z::checkpoint_token_usage.api_call_count,score::tokens,z::statistics.tool_calls,score::tool_calls,z::statistics.user_messages,z::statistics.assistant_messages,score::messages,z::bytes,score::bytes,anomaly_score_global,within_repo::score::tokens,within_repo::score::tool_calls,within_repo::score::messages,within_repo::score::bytes,anomaly_score_within_repo,candidate_score,derived::tokens_per_tool_call,derived::tokens_per_message
data/transcripts/000bf37f-e4a3-4e37-804d-2fad2928e440.jsonl,5596834,edfdd04c310dad2ddf0a7aa90d83afb085533dc91be2fda5fb33345096977696,87175bd3bdf219dea643c74daf281c7bf9fdc55670e1f76076cbc1b1404a2136,000bf37f-e4a3-4e37-804d-2fad2928e440,Claude Code,0.5.6,,2026-04-25T20:40:34.030164Z,main,manual-commit,['.claude/CLAUDE.md'],False,Claude Code,['claude-opus-4-7'],['Claude Code:2.1.119'],False,github,inin-zou/Clio,https://github.com/inin-zou/Clio.git,c4d25685b87831dfd9e81181769aa3eb5cfd8781,b5658a04599c,0,b5/658a04599c/0/metadata.json,b5/658a04599c/0/full.jsonl,"[{'path': 'b5/658a04599c/0/full.jsonl', 'bytes': 5596834, 'sha256': 'edfdd04c310dad2ddf0a7aa90d83afb085533dc91be2fda5fb33345096977696'}]",2026-04-25T20:40:33.963876Z,80.0,27.0,0.0,0.0,0.0,80.0,107.0,100.0,2.0,78,168,366,53252,0,542175,native,,native,18.0,16879.0,6643444.0,10686.0,8.0,,,,,,,,,1.5396360091200036,-0.3615295691731383,2.1271999713298713,-0.5548234912333369,-0.43465303252407467,0.751402303635839,0.18722659152619506,-0.6973257162205356,2.1271999713298713,1.67700745814157,1.67700745814157,2.5083429079090367,2.273888390565265,2.5083429079090367,1.5545117322951756,1.5545117322951756,1.9667655174189134,0.6745,0.0,-0.6745,-0.6745,-0.168625,0.792300732838511,19853.72131147541,29538.463414634145
data/transcripts/001ff8d2-ee5a-4976-9052-45f61230e52d.jsonl,8411193,29ed99eeea39c112af3ef891ac7dc24f0fadababa4518f5216440b17ad55da7a,f6df51b3cdbab4074f8f3ece7adb7f6ed1f94c7c1d84b75aad137a917fffc26a,001ff8d2-ee5a-4976-9052-45f61230e52d,Claude Code,0.4.9,,2026-04-08T10:15:38.386224Z,bubble-carp,manual-commit,['crates/agents/src/runner.rs'],False,Claude Code,['claude-opus-4-6'],['Claude Code:2.1.79'],False,github,fortuna/moltis,https://github.com/fortuna/moltis.git,47af6e5ee22027a005e61fdbe8f35b7412bfa2c8,2bb87598b9b0,0,2b/b87598b9b0/0/metadata.json,2b/b87598b9b0/0/full.jsonl,"[{'path': '2b/b87598b9b0/0/full.jsonl', 'bytes': 8411193, 'sha256': '29ed99eeea39c112af3ef891ac7dc24f0fadababa4518f5216440b17ad55da7a'}]",2026-04-08T10:15:05.163258Z,4.0,,0.0,0.0,0.0,4.0,,100.0,,12,11,137,163,0,37349,native,,native,157.0,124463.0,13149546.0,36719.0,134.0,,,,,,,,,-0.06389539563890395,-0.3615295691731383,0.702255708199149,0.09947500144629513,0.4507644962320778,1.0829027252616454,0.8468639881591802,1.3153079323292356,1.3153079323292356,0.9286260677339917,0.9286260677339917,0.7523893831497469,0.3849316227796601,0.7523893831497469,1.8453852094959895,1.8453852094959895,1.2104271481772408,1.5867649224223228,1.0511459446838034,2.860421931361962,1.4198852196794256,1.7295545045368783,1.4959471941750415,97434.53284671533,580370.9130434783
data/transcripts/0020a454-e7a8-43c9-ba7a-4e85bfa59f81.jsonl,1310153,d20ce24ae791c81ba94de1d1e9a358efec757beaf2536eb03fef123fed3d1fbc,57924d951725976d11d5f1b6657d0fcf7e90acc6ecbb5040ad0ef2e49aae9e74,0020a454-e7a8-43c9-ba7a-4e85bfa59f81,Claude Code,0.5.5,claude-opus-4-7[1m],2026-05-06T12:39:42.892172487Z,dev,manual-commit,['CLAUDE.md'],False,Claude Code,['claude-opus-4-7'],['Claude Code:2.1.128'],False,github,aunova/aunova-web,https://github.com/aunova/aunova-web.git,e6dd668a5b6a98f7ef717b466b2127c75f51ab17,4ef4df3186a7,0,4e/f4df3186a7/0/metadata.json,4e/f4df3186a7/0/full.jsonl,"[{'path': '4e/f4df3186a7/0/full.jsonl', 'bytes': 1310153, 'sha256': 'd20ce24ae791c81ba94de1d1e9a358efec757beaf2536eb03fef123fed3d1fbc'}]",2026-05-06T12:39:42.86524087Z,46.0,8.0,0.0,0.0,0.0,46.0,54.0,100.0,2.0,22,68,108,201,0,88736,native,,native,28.0,233292.0,3866104.0,9990.0,18.0,,,,,,,,,-0.006108559246128459,-0.3615295691731383,1.1631709237010932,-0.42420299251864574,0.7292031305585878,0.488543305193448,0.1512366108048135,-0.14199300961398947,1.1631709237010932,0.7481271009555657,0.7481271009555657,1.3075853326240356,1.6341462981298533,1.6341462981298533,0.5176831640366435,0.5176831640366435,1.015781871705789,0.5566743343779008,0.5093204378643239,0.5660955521212538,0.6347840578920139,0.5667185955638732,0.7687970698277353,38873.78703703704,46648.544444444444
data/transcripts/0026a693-6705-40e1-b0d5-e914ccb8f5ee.jsonl,687671,4b9f030155b863f9edf90fddb9c38a581f208cce6bae6676085dc5c85df2707a,a5d10098bb8602da53fac01f4a245666197aebb3a288328ca44f22880735c6d2,0026a693-6705-40e1-b0d5-e914ccb8f5ee,Claude Code,dev,claude-opus-4-6[1m],2026-04-07T22:01:28.163433521Z,pjbgf/rebase,manual-commit,"['cmd/entire/cli/strategy/push_common.go', 'cmd/entire/cli/strategy/push_common_test.go']",False,Claude Code,['claude-opus-4-6'],['Claude Code:2.1.87'],False,github,entireio/cli-checkpoints,https://github.com/entireio/cli-checkpoints.git,2295632f4273f9bb1e75da2a1e27b2bcc5872f1f,59c5d9a87fcb,0,59/c5d9a87fcb/0/metadata.json,59/c5d9a87fcb/0/full.jsonl,"[{'path': '59/c5d9a87fcb/0/full.jsonl', 'bytes': 687671, 'sha256': '4b9f030155b863f9edf90fddb9c38a581f208cce6bae6676085dc5c85df2707a'}]",2026-04-07T22:01:27.856185122Z,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,2.0,3,3,50,57,0,18941,native,,native,6.0,6810.0,384450.0,462.0,4.0,,,,,,,,,-0.35211336609064364,-0.3615295691731383,0.34062040022619844,-0.8632690881704013,-0.8368762608300583,-0.632155826000473,-1.4903637721613745,-1.1341710965127323,0.34062040022619844,0.16699268383123828,0.16699268383123828,-0.39455720673641986,-0.3996571649171687,-0.39455720673641986,0.05742062875513237,0.05742062875513237,0.04261912651903729,-0.9948399577321176,-0.28554907682295455,-1.2051661323413416,-0.1454454190330902,-0.657750146482376,-0.34258397363174004,8214.6,68455.0
data/transcripts/00340979-606e-423c-8a6c-6126fc3e8588.jsonl,542722,f7b129650e16af0f6a30f91dc05ecaedcf8d624cbe5fcfc2295d4d9e20fbcad5,4bec6890bd0f5462b2dd40fc2975cc241602c4732c46791040d0acf532d64df4,00340979-606e-423c-8a6c-6126fc3e8588,Claude Code,0.4.7,,2026-05-26T09:26:35.51666178Z,source-intelligence-foundation,manual-commit,"['package.json', 'test/test-skf-step-doc-sources.py']",False,Claude Code,['claude-opus-4-7'],['Claude Code:2.1.150'],False,github,armelhbobdad/bmad-module-skill-forge,https://github.com/armelhbobdad/bmad-module-skill-forge,ca55adef5c3b6d38c5d33c18ac9d5dc9baf4e893,5f5ca9551e5a,0,5f/5ca9551e5a/0/metadata.json,5f/5ca9551e5a/0/full.jsonl,"[{'path': '5f/5ca9551e5a/0/full.jsonl', 'bytes': 542722, 'sha256': 'f7b129650e16af0f6a30f91dc05ecaedcf8d624cbe5fcfc2295d4d9e20fbcad5'}]",2026-05-26T09:26:35.079732529Z,251.0,,118.0,0.0,0.0,369.0,,68.02168021680217,,1,13,41,26,0,15079,native,,native,26.0,62098.0,1407130.0,15079.0,25.0,,,,,,,,,-0.5641282461786851,-0.3615295691731383,0.21917234885096143,-0.44627666944946,0.14262947032199394,-0.002181616498044903,0.3712512212451321,0.09111853197290565,0.3712512212451321,0.01843779639128516,0.01843779639128516,-1.06905720673642,0.4950204104764886,0.4950204104764886,-0.11160220538958013,-0.11160220538958013,0.19327680568083144,-0.9021581542497518,-0.3534414147529643,-0.4733478535113461,-0.6830655493177284,-0.6030032429579477,-0.2446772210704971,36572.26829268293,107104.5
data/transcripts/0037b66c-b39e-47f9-bf42-112d0c4d953d.jsonl,2055431,2bf26f86e985128ece66fcc101c9366e13ea7ea348d806751236ea52d150039e,f2b26276bc2b565bb71dd8fe7d4a253c43b1ccd55f9b3a96b23a73338e6a650f,0037b66c-b39e-47f9-bf42-112d0c4d953d,Claude Code,0.4.4,,2026-03-05T15:15:40.193287447Z,main,manual-commit,"['documentation/possible_features/03_03_2026_critic_evaluation.md', 'documentation/possible_features/03_03_2026_final_report_tracing_tools_orchestrator.md', 'documentation/possible_features/03_03_2026_research_into_LLM_tracing.md', 'documentation/possible_features/custom_dash_improve_tracing_plan.md', 'documentation/possible_features/langfuse_improve_tracing_plan.md', 'documentation/possible_features/opik_improve_tracing_plan.md', 'documentation/possible_features/phoenix_improve_tracing_plan.md']",False,Claude Code,['claude-opus-4-6'],['Claude Code:2.1.63'],False,github,DieStok/harmonia,https://github.com/DieStok/harmonia.git,c9dd895115cec07c09122071196905152c3905ca,f5110341200f,0,f5/110341200f/0/metadata.json,f5/110341200f/0/full.jsonl,"[{'path': 'f5/110341200f/0/full.jsonl', 'bytes': 2055431, 'sha256': '2bf26f86e985128ece66fcc101c9366e13ea7ea348d806751236ea52d150039e'}]",2026-03-05T15:15:35.052712957Z,0.0,,352.0,1634.0,0.0,1984.0,,0.0,,5,1,38,1911,0,23563,native,,native,1911.0,182067.0,2520318.0,23563.0,36.0,,,,,,,,,0.6171307077156593,-0.3615295691731383,0.45691577894574986,0.8696585823255261,0.6193329416521857,0.28080244753095496,0.6097922571957238,0.3533367767470593,0.8696585823255261,-0.038264549366060566,-0.038264549366060566,0.0,-0.8946775753936574,0.0,0.8392455561286184,0.8392455561286184,0.41765989727202096,0.02343801697271881,-1.0029089910504732,-0.5861852672134668,-0.05919388213947046,-0.40621253085767284,-0.03546993819931063,72457.07894736843,458894.8333333333
data/transcripts/0039f842-e137-4bd9-9ef0-315c2c5d855e.jsonl,16650,031c73831fd70fae20c9efd62a54c991278de950d6eedd78e8d7a4acccf9113f,870a3ce36d9f36994dcc283583cc0112b04e24836a860d76546527ee4d18f854,0039f842-e137-4bd9-9ef0-315c2c5d855e,Cursor,0.4.8,,2026-03-08T06:29:14.097373Z,main,manual-commit,"['src/aa_shorts/tasks/audio.py', 'src/aa_shorts/workflows/video_production.py']",False,Cursor,[],[],False,github,mdvacula/aa-shorts,https://github.com/mdvacula/aa-shorts.git,7eb1293cb83a4763563e4b719fd46aa247ab94dd,536b0c3efd25,0,53/6b0c3efd25/0/metadata.json,53/6b0c3efd25/0/full.jsonl,"[{'path': '53/6b0c3efd25/0/full.jsonl', 'bytes': 16650, 'sha256': '031c73831fd70fae20c9efd62a54c991278de950d6eedd78e8d7a4acccf9113f'}]",2026-03-08T06:29:14.024007Z,118.0,,2523.0,0.0,0.0,2641.0,,4.468004543733435,,2,38,0,0,0,0,,,,,,,,,,,,,,,,,-1.4780189635415881,-0.3615295691731383,-4.905405389342587,,,,,,-0.3615295691731383,-2.8413710590313688,-2.8413710590313688,-0.6745,1.2266839900443882,1.2266839900443882,-2.599414547592032,-2.599414547592032,-1.1439077964380377,-0.982607368881035,0.982607368881035,1.0803541054632575,-0.03588227048630769,0.26111795874423743,-0.3711436310877864,,0.0
data/transcripts/00421016-1952-4403-8f4a-25bcd50a1fb8.jsonl,377402,06cdbb0fe44f999dbffd0d94aa4764ca80f430723e0d234b23017d3646b20692,38437f6a0ccbc9a981a62bef6a2e3c37e76b33b9cb7a164f3128148b5256c880,00421016-1952-4403-8f4a-25bcd50a1fb8,Claude Code,0.7.5,claude-sonnet-4-6,2026-06-09T17:18:50.882873Z,main,manual-commit,['spec/jsonrpc/request_spec.rb'],False,Claude Code,['claude-sonnet-4-6'],['Claude Code:2.1.169'],False,github,wilsonsilva/jsonrpc-middleware,https://github.com/wilsonsilva/jsonrpc-middleware.git,5505896fad775eef8a656e171dd12d36daa456a2,285fcd6b29a0,0,28/5fcd6b29a0/0/metadata.json,28/5fcd6b29a0/0/full.jsonl,"[{'path': '28/5fcd6b29a0/0/full.jsonl', 'bytes': 377402, 'sha256': '06cdbb0fe44f999dbffd0d94aa4764ca80f430723e0d234b23017d3646b20692'}]",2026-06-09T17:18:50.871364Z,26.0,62.0,0.0,0.0,0.0,26.0,88.0,100.0,2.0,1,10,24,81,0,18788,native,,native,81.0,44780.0,1036619.0,18788.0,24.0,,,,,,,,,-0.2560956773379103,-0.3615295691731383,0.3363006589531938,-0.10312505591372319,-0.0022654437394498523,-0.15055420405301706,0.4887724853229196,0.0619695424230499,0.4887724853229196,-0.3785076899859771,-0.3785076899859771,-1.06905720673642,0.3227912740030326,0.3227912740030326,-0.37100309251143254,-0.37100309251143254,0.015513244207135637,-0.02120239070273833,0.5464736391411745,-0.3232777530190259,0.7272833850368327,0.23231922011406075,0.13475653095594448,46631.708333333336,101741.90909090909
data/transcripts/0042d351-fad5-4c90-8890-a26276efc046.jsonl,6418832,4e63ab9cbb226a323aaf161e49e51b4d577c1dd36b5a37ef039ed7380f139918,e05d79bcf45bc3fdb5d6a548feb7825d9b6e919b588a72e35f127a58eefb32a5,0042d351-fad5-4c90-8890-a26276efc046,Claude Code,0.5.2,,2026-03-31T04:37:58.84422Z,refactor/extract-reusable-helpers,manual-commit,['custom_components/lock_code_manager/websocket.py'],False,Claude Code,"['<synthetic>', 'claude-opus-4-6']",['Claude Code:2.1.77'],False,github,pcastelo/lock_code_manager,https://github.com/pcastelo/lock_code_manager.git,6776105ae57a03354d5d080fe364d601e49becda,725600b2e726,0,72/5600b2e726/0/metadata.json,72/5600b2e726/0/full.jsonl,"[{'path': '72/5600b2e726/0/full.jsonl', 'bytes': 6418832, 'sha256': '4e63ab9cbb226a323aaf161e49e51b4d577c1dd36b5a37ef039ed7380f139918'}]",2026-03-31T04:37:57.600801Z,0.0,,1387.0,6.0,0.0,1387.0,,0.0,,101,73,303,1321,0,105690,native,,native,1321.0,2341865.0,97522512.0,105690.0,375.0,,,,,,,,,0.514810899158157,-0.3615295691731383,1.2562988659850014,0.7556732088459966,1.75135011758974,2.05576186248577,1.4118571959732056,2.076582430399886,2.076582430399886,1.532907065284808,1.532907065284808,2.756993686423354,1.684108168018111,2.756993686423354,1.6523604484692205,1.6523604484692205,2.0047109076443173,0.2788656944895566,0.0,0.33768388546088807,0.051877085381448355,0.16710666633297325,0.9940285749230782,330292.98349834984,575165.367816092
data/transcripts/004407cd-4bb6-40a4-9ab1-445b085e4dfe.jsonl,4293338,d8ae23611a6954d228e4631253af135965d4dfe695aa3de80ed56645a4779a41,9ecc1a25fde8f57613370f8f79cbd3767ffa314e5d8c3ceb089ddb66227325ca,004407cd-4bb6-40a4-9ab1-445b085e4dfe,Claude Code,0.4.2,,2026-02-15T20:29:52.801895Z,main,manual-commit,"['packages/@pressy/components/src/Reader.tsx', 'packages/@pressy/components/src/content/Footnote.tsx', 'packages/@pressy/components/src/index.ts', 'packages/pressy/src/runtime/client.tsx', 'packages/pressy/src/types.ts', 'packages/pressy/src/vite/plugin.ts']",False,Claude Code,['claude-opus-4-6'],['Claude Code:2.1.42'],False,github,blittle/pressy,https://github.com/blittle/pressy.git,609c979627b089e290ab21048554a0852d9c1c2e,70faa5791002,0,70/faa5791002/0/metadata.json,70/faa5791002/0/full.jsonl,"[{'path': '70/faa5791002/0/full.jsonl', 'bytes': 4293338, 'sha256': 'd8ae23611a6954d228e4631253af135965d4dfe695aa3de80ed56645a4779a41'}]",2026-02-15T20:29:52.458668Z,0.0,,260.0,569.0,0.0,608.0,,0.0,,36,25,184,258,0,12613,native,,native,36.0,40938.0,1462239.0,2473.0,26.0,,,,,,,,,0.06281384767869566,-0.3615295691731383,0.12406339198374626,-0.348948121105411,-0.04201876774845707,0.01647089739689856,-0.5947397729876799,0.11916729339345344,0.12406339198374626,1.1528877550670529,1.1528877550670529,1.770219088380307,0.9371156128240482,1.770219088380307,1.3651932781736453,1.3651932781736453,1.103090878401188,-0.8296006713584516,0.8613142895617215,1.3103936913723238,1.0504364855000312,0.5981359487689062,0.8253656671034331,8253.16847826087,24894.803278688523
