session_id,source.repository,agent,model,trajectory,candidate_score,anomaly_score_global,anomaly_score_within_repo,statistics.input_tokens,statistics.reasoning_tokens,statistics.output_tokens,checkpoint_token_usage.input_tokens,checkpoint_token_usage.cache_creation_tokens,checkpoint_token_usage.cache_read_tokens,checkpoint_token_usage.output_tokens,checkpoint_token_usage.api_call_count,statistics.tool_calls,statistics.user_messages,statistics.assistant_messages,bytes,derived::tokens_per_tool_call,derived::tokens_per_message
019d7ea2-dd77-7633-9509-834b381e1a3b,dayhaysoos/nimbus,Codex,gpt-5.4,data/transcripts/019d7ea2-dd77-7633-9509-834b381e1a3b.jsonl,6.018341713556271,3.595960115879759,8.000290293473418,487738118,494692,666221,4210082.0,0.0,3893376.0,13479.0,33.0,4481,200,1172,40069972,110916.31354608346,362256.5604956268
019d5552-9f6b-7d43-9216-7a9c13d1c4f2,dayhaysoos/nimbus,Codex,,data/transcripts/019d5552-9f6b-7d43-9216-7a9c13d1c4f2.jsonl,5.802373914150907,3.2623970204165165,7.880536827206316,214630364,156685,340475,212777452.0,0.0,199628032.0,652063.0,1585.0,1776,147,679,19303324,353708.7027027027,760516.5326876513
948a3954-6196-4010-8a1f-80c4cef48fcc,hackers-pub/android,Claude Code,,data/transcripts/948a3954-6196-4010-8a1f-80c4cef48fcc.jsonl,5.786809971181695,1.9751906915755137,8.905407563586751,10185,0,254672,72.0,24324.0,35626100.0,12727.0,70.0,985,31,21,12251133,36475.27918781726,690925.9615384615
019d8ec5-8a79-7c52-8c0a-12b4ae22e19f,dayhaysoos/nimbus,Codex,,data/transcripts/019d8ec5-8a79-7c52-8c0a-12b4ae22e19f.jsonl,5.320853611672193,2.9218650857202295,7.28366240563289,106862876,201476,247130,105922481.0,0.0,101684864.0,645157.0,822.0,1126,51,344,12441288,280252.93605683837,798898.2430379747
019d724a-df1e-7e20-b01c-6caf0bb02e7a,dayhaysoos/nimbus,Codex,,data/transcripts/019d724a-df1e-7e20-b01c-6caf0bb02e7a.jsonl,5.28106341466121,2.9285635709487834,7.205836014062286,78962245,75953,128217,78962245.0,0.0,73466496.0,280123.0,610.0,897,72,330,19500657,258501.5484949833,576805.6940298508
019d9d31-4d17-7d71-bd79-7c0e1324b230,dayhaysoos/nimbus,Codex,gpt-5.4,data/transcripts/019d9d31-4d17-7d71-bd79-7c0e1324b230.jsonl,5.1271477557354155,2.907264567553029,6.9434158187937305,153126766,219531,218407,10383205.0,0.0,9913216.0,35922.0,93.0,1645,37,355,12088221,105712.54711246201,443615.1530612245
019d93a5-868b-7303-a4a2-067ebf8dd7f9,dayhaysoos/nimbus,Codex,gpt-5.4,data/transcripts/019d93a5-868b-7303-a4a2-067ebf8dd7f9.jsonl,4.958710158151517,2.7542525434448972,6.762357297456933,69808652,94739,156034,69808652.0,0.0,65104512.0,345512.0,586.0,721,78,333,9698818,284769.33009708737,499558.84914841846
86f7230f-16a2-4201-9dae-105c1789c2c6,scottdensmore/Cakebrew,Claude Code,claude-opus-4-8,data/transcripts/86f7230f-16a2-4201-9dae-105c1789c2c6.jsonl,4.795220463758592,2.635046171962677,6.562635793409795,49783,0,1182457,475.0,570844.0,12039763.0,27194.0,22.0,1020,99,753,13741314,13598.566666666668,16279.974178403756
8a9ec257-cad9-4634-866d-d0bffa235e37,hackers-pub/android,Claude Code,,data/transcripts/8a9ec257-cad9-4634-866d-d0bffa235e37.jsonl,4.7704939485987286,1.424270945310698,7.508312769470753,636,0,111726,17.0,6792.0,3491213.0,4314.0,13.0,158,36,27,5998296,22877.91772151899,57376.36507936508
ses_33c1ef6dcffejADgxp8843cqwQ,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_33c1ef6dcffejADgxp8843cqwQ.jsonl,4.712309878093929,2.6808814562384287,6.374387677793885,15540446,0,291055,17009774.0,0.0,87036544.0,321444.0,797.0,724,106,70,11099868,166022.182320442,682954.8863636364
