segment_id,sample_role,repository,harness,review_priority_score,plan_review_priority
control__moltis-org__moltis__f8228535-8121-40f9-82ee-745151a5c580::seg0001,control,moltis-org/moltis,claude_like,10.49821266552469,12.99821266552469
control__moltis-org__moltis__80926b43-603a-4cff-98b7-492fe77d6cfe::seg0008,control,moltis-org/moltis,claude_like,9.541324901647904,12.541324901647904
control__moltis-org__moltis__80926b43-603a-4cff-98b7-492fe77d6cfe::seg0009,control,moltis-org/moltis,claude_like,7.890976122582913,10.890976122582911
control__entireio__external-agents__7c6c3177-92e5-491e-ac63-25bd872ff79e::seg0015,control,entireio/external-agents,claude_like,7.530401586266651,10.53040158626665
control__entireio__external-agents__7c6c3177-92e5-491e-ac63-25bd872ff79e::seg0028,control,entireio/external-agents,claude_like,7.184359361081617,10.184359361081617
control__entireio__external-agents__7c6c3177-92e5-491e-ac63-25bd872ff79e::seg0005,control,entireio/external-agents,claude_like,7.612760485995466,10.112760485995466
control__moltis-org__moltis__80926b43-603a-4cff-98b7-492fe77d6cfe::seg0013,control,moltis-org/moltis,claude_like,7.05919162851405,10.05919162851405
control__moltis-org__moltis__80926b43-603a-4cff-98b7-492fe77d6cfe::seg0020,control,moltis-org/moltis,claude_like,9.112751263945018,9.112751263945018
control__moltis-org__moltis__80926b43-603a-4cff-98b7-492fe77d6cfe::seg0017,control,moltis-org/moltis,claude_like,7.047748322136956,10.047748322136956
control__moltis-org__moltis__f8228535-8121-40f9-82ee-745151a5c580::seg0004,control,moltis-org/moltis,claude_like,7.007068851916738,7.507068851916738
control__entireio__external-agents__7c6c3177-92e5-491e-ac63-25bd872ff79e::seg0004,control,entireio/external-agents,claude_like,6.960283522329458,9.460283522329458
control__moltis-org__moltis__80926b43-603a-4cff-98b7-492fe77d6cfe::seg0011,control,moltis-org/moltis,claude_like,6.900738480115091,9.900738480115091
control__s4lly__splitzy__b2ad31fc-e3ab-4f9f-9804-9522f425c245::seg0026,control,s4lly/splitzy,claude_like,6.880640471731181,9.38064047173118
control__entireio__external-agents__7c6c3177-92e5-491e-ac63-25bd872ff79e::seg0001,control,entireio/external-agents,claude_like,6.863492687359818,9.363492687359818
control__fogodev__ars-ui__019e5d88-bad0-7b91-8c61-de1cafabe9ce::seg0003,control,fogodev/ars-ui,codex,22.496214934785968,25.496214934785968
control__fogodev__ars-ui__019e5d88-bad0-7b91-8c61-de1cafabe9ce::seg0002,control,fogodev/ars-ui,codex,18.877677473242187,21.877677473242187
control__tristanmanchester__sifs__019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce::seg0017,control,tristanmanchester/sifs,codex,16.813635252344966,19.81363525234497
control__tristanmanchester__sifs__019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce::seg0018,control,tristanmanchester/sifs,codex,15.385685637870733,18.38568563787073
control__tristanmanchester__sifs__019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce::seg0019,control,tristanmanchester/sifs,codex,15.481830588462902,17.981830588462902
control__tristanmanchester__sifs__019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce::seg0012,control,tristanmanchester/sifs,codex,14.451909301605156,17.451909301605156
control__tristanmanchester__sifs__019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce::seg0014,control,tristanmanchester/sifs,codex,14.380924102964746,17.380924102964748
control__tristanmanchester__sifs__019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce::seg0022,control,tristanmanchester/sifs,codex,14.165833176682328,14.665833176682328
control__tristanmanchester__sifs__019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce::seg0003,control,tristanmanchester/sifs,codex,14.087345726560752,17.087345726560752
control__zchee__spanner-manager__019dd005-990c-77a3-9acb-e4f7a78156f2::seg0003,control,zchee/spanner-manager,codex,13.993727246978612,16.99372724697861
control__tristanmanchester__sifs__019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce::seg0006,control,tristanmanchester/sifs,codex,13.527593919782682,16.52759391978268
control__tristanmanchester__sifs__019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce::seg0020,control,tristanmanchester/sifs,codex,12.87673751041064,15.87673751041064
control__dayhaysoos__nimbus__019d724a-df1e-7e20-b01c-6caf0bb02e7a::seg0010,control,dayhaysoos/nimbus,codex,12.434000320629451,15.434000320629451
control__entireio__external-agents__019dd670-a928-7192-9a5b-84557bc273a1-b4e23795b5d3::seg0007,control,entireio/external-agents,codex,12.409109120216232,15.409109120216232
control__dayhaysoos__nimbus__ses_331b97956ffeOFjrpl1iaJnkcc::seg0009,control,dayhaysoos/nimbus,opencode,9.20222837631184,12.20222837631184
control__dayhaysoos__nimbus__ses_331b97956ffeOFjrpl1iaJnkcc::seg0001,control,dayhaysoos/nimbus,opencode,8.982741206639073,11.982741206639073
control__dayhaysoos__nimbus__ses_331b97956ffeOFjrpl1iaJnkcc::seg0004,control,dayhaysoos/nimbus,opencode,7.229670189240264,10.229670189240265
control__dayhaysoos__nimbus__ses_331b97956ffeOFjrpl1iaJnkcc::seg0003,control,dayhaysoos/nimbus,opencode,6.981989224004076,9.981989224004076
control__danielkotsi__pantryPal__ses_192700a31ffeZnbs37Py90Blhl::seg0007,control,danielkotsi/pantryPal,opencode,6.510383314331371,9.51038331433137
control__danielkotsi__pantryPal__ses_192700a31ffeZnbs37Py90Blhl::seg0005,control,danielkotsi/pantryPal,opencode,6.305028463784618,9.305028463784618
control__dayhaysoos__nimbus__ses_331b97956ffeOFjrpl1iaJnkcc::seg0002,control,dayhaysoos/nimbus,opencode,5.790635350925193,8.790635350925193
control__danielkotsi__pantryPal__ses_192700a31ffeZnbs37Py90Blhl::seg0013,control,danielkotsi/pantryPal,opencode,5.64388958867247,8.643889588672469
control__dayhaysoos__nimbus__ses_331b97956ffeOFjrpl1iaJnkcc::seg0029,control,dayhaysoos/nimbus,opencode,5.634195629124791,8.634195629124791
control__dayhaysoos__nimbus__ses_331b97956ffeOFjrpl1iaJnkcc::seg0008,control,dayhaysoos/nimbus,opencode,5.511698823505881,8.511698823505881
control__danielkotsi__pantryPal__ses_192700a31ffeZnbs37Py90Blhl::seg0003,control,danielkotsi/pantryPal,opencode,5.115059220173206,7.615059220173206
control__dayhaysoos__nimbus__ses_331b97956ffeOFjrpl1iaJnkcc::seg0031,control,dayhaysoos/nimbus,opencode,4.910932532501857,7.910932532501857
