sample_role,trajectory,session_id,source.repository,agent,model,strategy,statistics.tool_calls,statistics.user_messages,statistics.assistant_messages,initial_attribution.agent_lines,initial_attribution.total_committed,files_touched_count,lines_per_100_tools,activity_score,visible_progress_proxy,lack_progress_risk,bytes
control,data/transcripts/019d724a-df1e-7e20-b01c-6caf0bb02e7a.jsonl,019d724a-df1e-7e20-b01c-6caf0bb02e7a,dayhaysoos/nimbus,Codex,,manual-commit,897,72,330,1890.0,1890.0,20.0,210.70234113712374,6.958838858954139,0.24708681561136406,6.711752043342775,19500657
control,data/transcripts/ses_331b97956ffeOFjrpl1iaJnkcc.jsonl,ses_331b97956ffeOFjrpl1iaJnkcc,dayhaysoos/nimbus,OpenCode,,manual-commit,336,91,63,5127.0,5127.0,24.0,1525.892857142857,5.5402588262575865,1.744882171868527,3.7953766543890595,13444182
control,data/transcripts/019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce.jsonl,019e6467-8ac8-7e91-afee-22233a29a438,tristanmanchester/sifs,Codex,gpt-5.5,manual-commit,1875,37,222,2205.0,2861.0,11.0,117.6,4.368295245178692,3.347549306974517,1.0207459382041755,9814217
control,data/transcripts/d8fe71a1-90fd-4afc-a19d-5f4d20a49e4e.jsonl,d8fe71a1-90fd-4afc-a19d-5f4d20a49e4e,taxintt/clickhouse-ecs-sample,Claude Code,,manual-commit,123,57,50,29.0,29.0,5.0,23.577235772357724,0.10306647917746473,-0.12172647193487006,0.22479295111233477,1806081
control,data/transcripts/b8649fa4-6d44-4b18-ac4b-5442ae61407d.jsonl,b8649fa4-6d44-4b18-ac4b-5442ae61407d,femto/mcp-chrome,Claude Code,,manual-commit,94,16,33,141.0,144.0,2.0,150.0,2.046483160256025,0.4656038709334753,1.5808792893225498,1066529
control,data/transcripts/b2ad31fc-e3ab-4f9f-9804-9522f425c245.jsonl,b2ad31fc-e3ab-4f9f-9804-9522f425c245,s4lly/splitzy,Claude Code,,manual-commit,201,32,62,417.0,417.0,18.0,207.46268656716418,5.128026692696205,1.7079306029425405,3.420096089753664,1821382
control,data/transcripts/019e5d88-bad0-7b91-8c61-de1cafabe9ce.jsonl,019e5d88-bad0-7b91-8c61-de1cafabe9ce,fogodev/ars-ui,Codex,gpt-5.5,manual-commit,1515,4,210,291.0,291.0,3.0,19.207920792079207,0.576376158442703,0.702055502002188,-0.12567934355948507,6172619
control,data/transcripts/ses_192700a31ffeZnbs37Py90Blhl.jsonl,ses_192700a31ffeZnbs37Py90Blhl,danielkotsi/pantryPal,OpenCode,deepseek-v4-flash-free,manual-commit,181,26,33,670.0,1026.0,8.0,370.16574585635357,0.0,0.7959710334171114,-0.7959710334171114,1575257
control,data/transcripts/7c6c3177-92e5-491e-ac63-25bd872ff79e.jsonl,7c6c3177-92e5-491e-ac63-25bd872ff79e,entireio/external-agents,Claude Code,claude-opus-4-6[1m],manual-commit,351,42,16,1081.0,1123.0,3.0,307.97720797720797,2.6720160283726893,0.8501133542894352,1.821902674083254,7544615
control,data/transcripts/e6fcffa5-eb50-44f0-a1a5-a22916f24d12.jsonl,e6fcffa5-eb50-44f0-a1a5-a22916f24d12,roo-oliv/monodreams,Claude Code,,manual-commit,132,9,69,2193.0,3206.0,15.0,1661.3636363636363,3.0843114225138044,1.157504014780141,1.9268074077336634,2281854
control,data/transcripts/019dd670-a928-7192-9a5b-84557bc273a1-b4e23795b5d3.jsonl,019dd670-a928-7192-9a5b-84557bc273a1,entireio/external-agents,Codex,gpt-5.4,manual-commit,168,19,83,12.0,12.0,1.0,7.142857142857143,3.7120647043676662,-0.8481014863483305,4.5601661907159965,1454095
control,data/transcripts/019dd005-990c-77a3-9acb-e4f7a78156f2.jsonl,019dd005-990c-77a3-9acb-e4f7a78156f2,zchee/spanner-manager,Codex,gpt-5.5,manual-commit,142,10,51,327.0,327.0,2.0,230.28169014084506,3.787882347733612,0.661824825339463,3.1260575223941487,2355470
control,data/transcripts/80926b43-603a-4cff-98b7-492fe77d6cfe.jsonl,80926b43-603a-4cff-98b7-492fe77d6cfe,moltis-org/moltis,Claude Code,,manual-commit,580,20,18,62.0,62.0,2.0,10.689655172413794,2.5948355828786753,0.5526487785662821,2.042186804312393,31283781
control,data/transcripts/f8228535-8121-40f9-82ee-745151a5c580.jsonl,f8228535-8121-40f9-82ee-745151a5c580,moltis-org/moltis,Claude Code,,manual-commit,170,4,4,99.0,99.0,5.0,58.23529411764706,0.5549869487300142,1.0487277890681501,-0.4937408403381359,1554508
control,data/transcripts/c083831d-20d9-4525-a0ca-d78bb64dd765.jsonl,c083831d-20d9-4525-a0ca-d78bb64dd765,oddessentials/ado-git-repo-insights,Claude Code,claude-opus-4-8[1m],manual-commit,109,6,82,179.0,179.0,4.0,164.22018348623854,-0.6744999999999999,0.0,-0.6744999999999999,2207183
