sample_role,trajectory,session_id,source.repository,agent,model,strategy,statistics.tool_calls,statistics.user_messages,statistics.assistant_messages,initial_attribution.agent_lines,initial_attribution.total_committed,files_touched_count,lines_per_100_tools,activity_score,visible_progress_proxy,lack_progress_risk,bytes
risk,data/transcripts/019d9d31-4d17-7d71-bd79-7c0e1324b230.jsonl,019d9d31-4d17-7d71-bd79-7c0e1324b230,dayhaysoos/nimbus,Codex,gpt-5.4,manual-commit,1645,37,355,6.0,6.0,4.0,0.364741641337386,7.002629277039009,-7.598538559122089,14.601167836161098,12088221
risk,data/transcripts/ses_33c1ef6dcffejADgxp8843cqwQ.jsonl,ses_33c1ef6dcffejADgxp8843cqwQ,dayhaysoos/nimbus,OpenCode,,manual-commit,724,106,70,2.0,45.0,1.0,0.27624309392265195,6.032997976341241,-8.0,14.03299797634124,11099868
risk,data/transcripts/019e013e-7813-7990-aa0c-a11525329658.jsonl,019e013e-7813-7990-aa0c-a11525329658,tristanmanchester/sifs,Codex,gpt-5.5,manual-commit,2122,12,411,0.0,5600.0,1.0,0.0,4.930826797856786,-1.4195037558847434,6.350330553741529,14477061
risk,data/transcripts/723ea1bc-12cd-4f11-a446-6c6846403022.jsonl,723ea1bc-12cd-4f11-a446-6c6846403022,taxintt/clickhouse-ecs-sample,Claude Code,claude-opus-4-7[1m],manual-commit,326,110,157,0.0,206.0,3.0,0.0,1.1901455536990728,-5.453173207978609,6.643318761677682,4377854
risk,data/transcripts/ed381837-4c4b-4e6e-be38-d360d5c8e2c6.jsonl,ed381837-4c4b-4e6e-be38-d360d5c8e2c6,femto/mcp-chrome,Claude Code,,manual-commit,271,142,105,9.0,211.0,2.0,3.321033210332103,4.03120819539035,-2.7146263745463313,6.745834569936681,12260802
risk,data/transcripts/b8072de6-aecc-4b6f-aa1c-ba71ac3a42fa.jsonl,b8072de6-aecc-4b6f-aa1c-ba71ac3a42fa,s4lly/splitzy,Claude Code,claude-opus-4-8[1m],manual-commit,248,5,116,0.0,9.0,2.0,0.0,5.400480204126033,-0.7376923352473573,6.13817253937339,2725576
risk,data/transcripts/019e93b2-e997-7881-b092-7b1fb63bf491.jsonl,019e93b2-e997-7881-b092-7b1fb63bf491,fogodev/ars-ui,Codex,gpt-5.5,manual-commit,3746,128,1898,1.0,1.0,1.0,0.026695141484249868,3.1208637012759737,-1.9541499717543824,5.075013673030356,55514069
risk,data/transcripts/ses_1924912e8ffe8q38s2gOwL0Q36.jsonl,ses_1924912e8ffe8q38s2gOwL0Q36,danielkotsi/pantryPal,OpenCode,deepseek-v4-flash-free,manual-commit,222,20,47,0.0,219.0,5.0,0.0,0.2966517775096692,-5.544955391569531,5.8416071690792,1397602
risk,data/transcripts/4fc30b8d-0d52-49cd-8b24-c78559edb2ff.jsonl,4fc30b8d-0d52-49cd-8b24-c78559edb2ff,entireio/external-agents,Claude Code,claude-fable-5,manual-commit,305,26,93,0.0,12.0,2.0,0.0,4.039276828369829,-1.4493997706414514,5.4886765990112805,3103744
risk,data/transcripts/99588020-158e-40d6-aa8e-de0c7ddae9dd.jsonl,99588020-158e-40d6-aa8e-de0c7ddae9dd,roo-oliv/monodreams,Claude Code,,manual-commit,284,58,166,0.0,1401.0,3.0,0.0,4.09601062235348,-1.4151691849676555,5.511179807321135,5921516
risk,data/transcripts/990b1de6-56f2-47b9-9636-f1c968305870.jsonl,990b1de6-56f2-47b9-9636-f1c968305870,Tiryoh/svg-editor,Claude Code,claude-opus-4-6,manual-commit,219,42,31,77.0,77.0,4.0,35.15981735159817,0.7262283460512591,-6.0442001538226435,6.770428499873903,3185307
risk,data/transcripts/31f69918-1324-4182-bd7e-63f6c031e965.jsonl,31f69918-1324-4182-bd7e-63f6c031e965,jpotter185/tallyo,Claude Code,,manual-commit,317,25,67,1.0,1.0,1.0,0.31545741324921134,4.794503261630134,-0.5309111451159094,5.325414406746043,4253112
risk,data/transcripts/767ce74c-aa96-4526-88d7-2411f4000ccc.jsonl,767ce74c-aa96-4526-88d7-2411f4000ccc,YESS-lab/s26_3_31_class_and_guide,Claude Code,,manual-commit,376,64,197,0.0,1.0,1.0,0.0,4.4475779056717055,-0.6745,5.122077905671706,3387195
